2: Ping
562: EnterArea
564: ExitArea
566: EnterGroup
567: ExitGroup
568: SetAreaMap
569: BlockList
570: ClearAreaMap
571: AreaChat
572: GroupCombo
573: RequestCar
575: GroupComboReset
576: ReplaceCar
580: MyAuctionList
582: AuctionOn
584: AuctionCancel
586: AuctionComplete
588: AuctionList
592: AuctionBuy
595: AuctionSearch
620: RoomModify
623: RoomChangeTeam
660: GameCharInfo
662: GameCharInfoEx
681: UDPSync
682: AreaStatus
684: AllAreaStatus
700: UDPCastTraffic
702: UDPCastTCS
704: UDPFlushCast
705: RegisterAgent
707: UDPCastTCSSignal
710: GroupTCS
711: GroupTCSSignal
712: GroupUpdate
720: ObjectUpdate
721: DriveInfoUpdate
723: FuelChargeReq
740: TrafficItemEvent
780: AreaList
782: FirstPosition
784: GetDateTime
786: QuestPosition
788: MyCityPosition
801: PlayerInfoReq
805: SetVisualItem
821: SilentMove
822: ObserveMode
830: SetTeamMark
832: GetTeamMark
834: SetTeamUrl
840: MyTeamInfo
842: CreateTeam
844: CloseTeam
848: LeaveTeam
850: DelegateTeamMaster
851: CheckTeamName
853: CancelCloseTeam
855: TeamMembers
858: CharTeamInfo
860: CBattleInfo
862: GetCBattleTime
868: CheckTeamUrl
870: JoinTeamApplyByName
871: JoinTeamApply
872: JoinTeamConfirm
873: LeaveTeamRequest
874: LeaveTeamConfirm
875: BanishTeamMember
876: RejectTeamApply
880: CBattleRoomCreate
881: CBattleRoomJoin
882: EnterCBattleChannel
883: ExitCBattleChannel
884: AssignTeamRank
900: CBattleRoomReady
903: CBattleInstance
906: CBattleSet
907: CBattleJoinOBS
908: CBattleItems
910: CBattleGetSetting
916: ObserverSupport
990: InstantRequest
992: InstantStart
994: InstantComplete
999: InstantGiveUp
1001: InstantGoalPlace
1010: UpdateCouponForVar
1011: GetCouponForVar
1013: GetCouponStampList
1015: MarkCoupon
1017: OpenCoupon
1019: GetCoupon
1080: ImageRequest
1082: ImageSave
1110: EnterRushZone
1112: ExitRushZone
1114: RushHitPoint
1118: NotifyRushHuv
1122: CastRushEvent
1123: RushObjectUpdate
1125: RequestSwitchRushHuv
1151: Mita500Get
1154: Mita500GetBuff
1162: DayMissionGetReward
1163: DayMileageGetReward
1170: DayEventGetItem
1172: DayEventComplete
1200: VisualItemList
1203: BuyVisualItem_Thread
1205: EquipVisualItem
1207: UnEquipVisualItem
1209: VisualItemUse
1211: DropVisualItem
1300: BuyHistoryList
1302: SendVisualItem_Thread
1304: GetVisualItem_Thread
1306: IsValidCharName
1311: TestPlayerAnswer
1321: LapTimeReady
1323: LapTimeGate
1324: LapTimeRecord
1350: MyStickerList
1352: AttachSticker
1354: DetachSticker
1360: EndingUserRecord
1400: GetMyHancoin_Thread
1410: NotifyDelCharacter
1411: NotifyDelCharacterAck
1412: NotifyServerIp
1413: ReportHack
1500: ItemExpireCmd
1700: MyAuctionCarList
1702: AuctionCarOn
1704: AuctionCarCancel
1706: AuctionCarComplete
1708: AuctionCarList
1710: AuctionCarBuy
1713: AuctionCarSearch
1900: SelectGuild
2000: UpdateQuickSlot
3000: UCPatrolStart
3002: UCPatrolGiveUp
3004: UCPatrolGoalPlace
3010: UCBossPatrolStart
3012: UCBossPatrolGiveUp
3014: UCBossPatrolGoalPlace
3200: CityLeave
